words	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
iraq united saudi states iran arabia war nations international gulf	2.92205410242	4.95681117303	3.77537516629	16.2990637464	98.8368575299	55.4980174137	32.4691125702	34.7896913982	26.1906324104	72.2360443621	95.9055391384	59.2923380179	39.1959963964	40.92615113	26.9463780889	24.5146543034	96.7677515535	48.2570493492	36.3533722856	16.0028924433	170.060904654	61.4802373382	13.2223115047	14.2261502201	18.7215524891	6.36212036659	27.1907306728	10.1572647917	29.4559559992	29.8813881231	50.88320662	27.1261769565	36.7007064331	36.359463831	61.3331787884	51.1132206302	66.7294043802	46.0417685425	122.223846943	50.1672150789	30.5551420683	48.8878947852	43.9324375621	10.6167018948	110.623492724	247.179588403
stocks stock market dow points investors wall shares street index	2.76027112332	2.48977603071	3.11568471148	10.5792755526	35.3270724586	70.1588741373	39.4063185656	17.4251993782	13.6363865509	71.1133208827	61.3290634914	34.2835334411	21.2170310929	55.1561683172	24.5010132434	39.6509705228	115.356791697	67.7497701954	44.9560624291	18.9110405118	113.766713393	32.0371181697	12.2550171838	35.2904030763	20.5130584852	13.1568014124	24.7128152821	26.4742372383	50.6548974948	36.5948468167	69.6844585052	25.3219824634	22.348466533	25.3210043366	105.252038929	124.234716411	127.281561158	121.643648657	225.026165665	128.392492501	41.5241638546	74.2898917867	33.1689176676	11.8220125897	273.936396422	471.802978386
yesterday dollar rose year fell futures crude trade york trading	13.2305649199	10.5609224054	10.3992947194	14.9906004238	55.9826892533	40.1398962793	33.3090140325	35.5233800112	26.8508968582	128.866069429	110.061257766	69.188155441	55.8470674324	85.6173643378	90.8385880514	129.352959772	306.375429346	151.765737146	151.189852066	79.1863993429	256.315506289	101.159932622	55.3666373451	93.5596072185	107.914020455	61.2105558577	124.358966355	49.1634021669	46.9090257509	53.2740783139	67.4561846415	19.8440646214	25.134780403	43.0337883636	91.4770004178	101.498593397	65.3325610078	61.339423647	124.030951506	66.2978773883	23.9542071318	44.3850405571	23.7356874921	11.9425626483	155.676005873	432.925709673
opec production crude petroleum countries barrel organization exporting output saudi	4.77165486258	3.4849461706	3.36513095813	22.2599539055	67.1751810567	56.9377141572	43.4257513082	36.854613148	22.0372219924	100.112356366	180.757983491	108.49321426	73.0508436252	107.753251167	69.7167318453	88.256348702	171.620554943	74.6863856119	90.0212087924	38.9057348302	85.0807406426	36.102704004	21.4906787245	35.9075678763	22.1294294291	6.20609366708	14.8097629135	6.51511481897	29.7644125225	27.0593464565	68.2450527294	46.3532176786	31.657934146	39.9047575006	55.5994049497	45.7721481736	39.4234557524	31.2594698528	73.1408939944	25.5796242006	11.556392878	39.9298928339	18.1895269464	9.13010023488	153.034111467	297.504390783
company million companies quarter year earnings profit industry gas corporation	3.33958819376	1.77459707539	4.45483802236	12.5546732755	51.6572536486	50.675023868	19.7789188948	20.7292008644	18.6900673729	100.541084635	126.586126752	64.8939658416	78.8825939024	81.8678564664	64.0423171301	80.6750610817	273.85280103	118.135014747	113.435243577	64.7368404698	150.22368317	85.4708957846	38.1116164714	52.0151861202	82.4033288042	27.5134669505	36.3864270614	26.4080864643	88.7457420807	71.2159558953	82.1944312075	42.9526242272	28.1825322524	43.874268964	116.941924423	172.33984446	146.72954215	89.0169585332	211.741812242	93.2064312966	57.3311241164	81.2418665873	49.1760570366	21.2719262519	197.720321429	606.836596173
economy rates growth inflation rate interest economic bank year federal	1.48884890832	1.16424329821	0.364668581341	7.01988101185	42.9955660394	34.0995593692	21.1935310752	12.0697675752	16.5198637204	70.864846008	86.8072235933	35.1385963523	27.6910256276	34.3781422802	27.9708840777	32.9095816385	136.178486882	56.6113794373	49.7210542774	24.3914942725	92.2657689107	30.7802188347	10.6286536957	17.1067308337	24.1924073186	7.36010936624	15.2935543278	9.69755252889	28.7822968598	35.3924214121	50.1043786979	27.0406218557	32.4783467086	46.1496865636	100.968482953	98.2816359805	96.8630842622	94.6420208071	151.715280912	77.2182824532	26.1450608194	70.6684041801	42.5168293493	16.2886008789	348.539903664	1083.95457537
mr city president state texas people power bush york years	1.8779314562	1.24113287697	0.453262991031	10.0818637025	77.3167061942	36.3485998154	22.4315205398	26.4784488135	15.8123553388	61.7956038458	83.4797363586	40.8929393428	19.6970899315	41.5493932354	16.7595482367	29.0888895097	102.227681273	58.7561572795	56.6874085856	26.9591554156	56.5251724626	23.4754714742	15.7363137708	14.7649041925	15.4340502404	8.74316435608	12.2450978241	6.43782432442	17.0865924169	23.672709172	66.1847581412	21.6170998582	21.8399644464	18.5707670714	44.4267069965	63.8997309017	56.8839302689	43.9121692085	125.729930405	33.4088530326	18.0408371927	41.8061226998	21.5707988154	11.2593846184	59.7666472085	189.085882807
energy tax gas president fuel house bill congress budget carter	9.12386626374	8.81865299262	2.74123858281	38.2588110543	182.299833511	218.115227044	67.2497558139	85.2166102407	42.648571108	235.74474436	193.673322262	104.372545442	54.5199739668	82.8078726008	36.3019314244	51.1605232031	129.830788161	45.72301931	37.3815322599	21.0542649019	81.5437850053	27.4088430214	17.329387608	13.069691123	10.0883142268	5.66473028334	13.3951329065	6.35511737116	15.241775658	16.0305485738	78.0477946014	25.4187461461	14.9186899601	22.9477158288	47.310881767	60.277375038	65.4211901296	60.3965059918	181.679718068	49.3212633015	34.3005947991	71.2035510493	45.3858098978	10.53116996	70.5955430803	163.487371924
countries nations world econ arab opec million govt indus cos	5.43299086912	20.0992101011	9.20251538222	61.111906852	396.307851329	256.981283525	80.0604136587	64.1800976321	45.7272008881	107.553977425	80.9732303966	14.8129050549	16.1506974749	16.4853163884	7.30373051248	12.8576875953	28.5156054208	18.8654346302	17.0797740809	5.27142920624	22.3472844709	6.24266538158	3.27651139837	4.37753378455	7.48543564316	1.45329895302	1.80906925864	2.73866982062	8.24314521468	5.69614345773	9.33178190728	5.44392327068	3.511846501	6.0759714241	12.897202882	12.9141851596	21.7319570941	22.0021790275	35.8653049697	19.5832313709	6.68207480996	20.2955855637	14.4077980107	7.68970037053	50.5561110985	137.827793133
economic world president russia economy government year mexico country bank	2.05222930069	1.40970787596	1.1279908849	8.84397047556	86.1009889794	45.0458043903	40.6756635411	33.7329909385	27.8868037598	90.1719526859	145.42651675	75.6318068066	60.7476805498	84.458484077	39.6188773897	51.5333236711	227.274109694	62.4500522942	40.1744916461	28.5807486057	108.870441002	37.84191337	30.5828722976	15.6822255549	12.1184029084	8.32965878712	9.79844339762	6.05273047472	50.1161560026	30.182561779	50.8679529487	36.8815429223	25.2267326163	20.7625761164	38.7931778941	44.6685498481	50.6033137958	38.7458557325	142.846095295	59.8247293766	31.9104023297	62.2917499568	42.9161372219	16.4478405525	254.551467034	507.395113352
