Berkshire Share Gains May Offer Buffett Cover at Annual Meeting
Weir Says Pursuing M&A Opportunities Across All Divisions
BG Beats First-Quarter Estimates After Losing CEO
Lloyds Lifts FTSE to Two-Month Highs
"Oil Falls a Second Day on US Growth, Supply Worry"
Salamander Energy in Talks to Sell Itself
ExxonMobil Profits Pumped Higher on Natural Gas Price Boost
"Exxon, Conoco See a Quarterly Payoff From Natural Gas"
BG Aims to Speed Up Deals to Bring Its Riches to Market
How Not to Be Misled by the Jobs Report
"Hoping to Fend Off Suits, G.M. Is to Return to Bankruptcy Court"
"Corrections: May 2, 2014"
