words	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
venezuela canada canadian president ch alberta hugo government country venezuelan	0.00503477047802	0.0559449340619	0.0132411760252	0.0155959942743	0.0152831964269	0.0127180074286	0.0111593454939	0.0109937749306	0.0144973662944	0.0156796047114	0.017644520452	0.0208442478581	0.0110212912131	0.0191701091894	0.0202981037246	0.0136635968335	0.0148688450843	0.0134676173189	0.0126485964453	0.0160669292609	0.0106349804998	0.00796347379136	0.00978892714341	0.00471798559784	0.0155744896967	0.0232307917055	0.0053004847885	0.0128211913874	0.0149786889611	0.0105619559034	0.0110472006148	0.0125232148405	0.0320806489581	0.0160033229817	0.014328003862	0.0114598694316	0.0199498262662	0.0400598183128	0.0183822275246	0.0347818560309	0.0272815133608	0.0282966672737	0.0316917437732	0.0448637462602	0.0155628843909	0.017436937276
president news mr international reagan summary bush national economic government	0.019617810764	0.0163476779109	0.00281126021735	0.067884539848	0.0884893735625	0.0790998015847	0.1010200298	0.0929733031099	0.0858031443997	0.0738322051405	0.0823713470124	0.0892153622848	0.0481417959718	0.0557806423663	0.0481950600382	0.0355171701083	0.0696080215166	0.0438033746025	0.0510550628476	0.0384773234656	0.0499967921649	0.0406199612651	0.0584472328526	0.0293358182213	0.0250499449763	0.0181180238261	0.0235234734478	0.0286940212288	0.0411281636585	0.0364944752394	0.0740443156751	0.0722833637064	0.0820731598687	0.0496415127579	0.0672013524682	0.0369916235487	0.0408048008489	0.0384288019417	0.0579660023088	0.035152626833	0.0392290862594	0.0445222462662	0.049270791984	0.0358818762671	0.019006365762	0.0260151387514
rates interest rate inflation federal reserve fed bank treasury bond	0.024174389691	0.0231463574624	0.00271393745458	0.0178373966389	0.0221575333948	0.0199713474808	0.0269483197623	0.0131333262516	0.0269562055607	0.0369290858168	0.0316142107449	0.0331954279654	0.0481870667145	0.0510960805259	0.0621681688576	0.0655341277874	0.0996728566995	0.0711836984464	0.0713768873781	0.0629129636648	0.0766395553895	0.0500861376884	0.0459238875186	0.0404316471068	0.0652808741776	0.0328034985744	0.0581108544569	0.0321449101919	0.0361774484378	0.0790986214414	0.0518920262996	0.0404199677172	0.0411814196343	0.0531377230014	0.0565076317371	0.0619147988679	0.065029313733	0.0683356665484	0.049594519828	0.0363355729465	0.0340981797803	0.0481743997137	0.0279652701013	0.0482058654148	0.0627837851126	0.086975074735
texas industry state companies years year company savings american steel	0.0307726311522	0.0011691091092	0.00507694494395	0.0195465103975	0.0120148092176	0.013242913684	0.015882482862	0.0142860092149	0.00782698112399	0.0127171892802	0.0141938706599	0.0185810528388	0.0267930745351	0.0221621405093	0.0241441627634	0.0276971540317	0.0344761536906	0.031473159259	0.0283390208341	0.0373685101384	0.0219600991064	0.017948937199	0.0114414071154	0.018593237763	0.0173131798042	0.0127927394656	0.011157246844	0.0157513552243	0.0191348369638	0.0323822306118	0.0170071046821	0.0228242808447	0.0185613604105	0.0167975711473	0.00944297536348	0.0165565247724	0.02078806544	0.0219982858099	0.0202469154197	0.0131853069915	0.0158622646994	0.0142910781339	0.021830994512	0.0187347306491	0.0200652503691	0.0173417562666
gasoline consumer inflation index rose department rise increase month costs	0.0206367255217	0.0124249415072	0.016817673451	0.0547740536261	0.0265235816047	0.0264555731075	0.0295200279411	0.0240860593973	0.0190773016327	0.0343925340768	0.0423575648024	0.0723528366153	0.0487224042639	0.0592952073694	0.0636295647095	0.0487480143559	0.0396073445987	0.0478608241828	0.0356869708263	0.0597734242785	0.0357064282081	0.0397182699048	0.0408999279858	0.0527219733715	0.0365639524726	0.0192921078077	0.0392355683903	0.0842699888348	0.041055085432	0.0728797270091	0.0672746431506	0.0212301907355	0.0346685834953	0.0499244746217	0.0418399633132	0.0399814880452	0.0373999682795	0.0372447765431	0.0362670683359	0.044628646093	0.0256636400696	0.0344204357172	0.0273899098948	0.0427703589752	0.0339775249378	0.0317045671682
trade japan year growth economy deficit china exports economic euro	0.0164834302473	0.0151144916529	0.0197800335434	0.0185106143226	0.0196432228514	0.0170473323756	0.0216913599794	0.0199953551372	0.0283412879633	0.0256152359353	0.0272513281578	0.0237188271319	0.0189485907406	0.0183750338419	0.0187855512902	0.0184161100036	0.0303774529412	0.0355155423369	0.0208602418021	0.0279226441222	0.030847234628	0.0286237543971	0.0294712996879	0.0187705083451	0.0205103435754	0.0169547353114	0.0125194373712	0.0343506081548	0.021953123227	0.034570349039	0.0335618670876	0.037310720666	0.034108611632	0.0517992198166	0.0493090874877	0.0441310212403	0.042843200966	0.036885506966	0.0320910844987	0.045493451432	0.0536009871162	0.0475560219061	0.0587067253402	0.0517179123042	0.0770894223739	0.0933965615753
million world funds food coal fund reserves soviet editor cost	0.0282786050836	0.0160793489013	0.030761719538	0.0430795858464	0.0487581876116	0.0522773152033	0.0451633303372	0.0401010874611	0.0549170160724	0.0240170743822	0.0272769144444	0.0154918887106	0.020545606772	0.014316154212	0.0100359753111	0.0100069337523	0.00918201444928	0.013906845509	0.0109787641438	0.0125219964489	0.0115966957146	0.00674688420778	0.00871275234896	0.00897838870733	0.00290852515728	0.00786526677548	0.0100864881287	0.0154466223316	0.00895543142013	0.00657437625041	0.00933019730923	0.0137415566528	0.0133745360106	0.0140221470665	0.00631740233545	0.0142989914146	0.0163130466657	0.0088828814053	0.0245012252556	0.0171184650792	0.0123591283606	0.0180902407272	0.0121433620314	0.0320775371174	0.00931973857555	0.0132518778112
gas company natural energy companies drilling industry exxon power corporation	0.0263038331518	0.0262398213399	0.0164859525634	0.0406095897753	0.0189961091873	0.0230013673714	0.0164934599689	0.0266298698289	0.0179930822354	0.0253552932151	0.0374951544914	0.0517034973554	0.0827150443341	0.0656992842353	0.0458358956835	0.0352850626034	0.03623228896	0.038823691224	0.038911227472	0.0436162037908	0.0258788187893	0.029747304513	0.0550487070677	0.0229017775775	0.0331970123659	0.0553487448215	0.0293114644984	0.0231787738044	0.0875000627709	0.0558420317271	0.0403619210834	0.0497699840418	0.0451282310891	0.0255123088189	0.0367277710386	0.0496798933175	0.0600926986654	0.0353997375027	0.0457225775029	0.0478323316895	0.0870527510303	0.0533724905142	0.0633464366251	0.079971136778	0.0362236061208	0.0308512314887
iran opec brazil iranian energy shah increase production million world	0.0263989612507	0.0500778365771	0.0571376758965	0.0355022532252	0.0426394806136	0.0395651668821	0.0437576282303	0.0466083671642	0.0550842942774	0.0282099634996	0.0205410878322	0.00708560625247	0.00790548668525	0.00855472419552	0.00984649082579	0.0064800933341	0.00531208644248	0.00924166875398	0.0108746097585	0.0101613681243	0.00587069069554	0.00581129764531	0.0081514254739	0.00411192013372	0.00757861510556	0.0035543325422	0.00126694680996	0.00439479923303	0.00908605910529	0.00769325449584	0.00772371695162	0.0147436746458	0.00497860304215	0.0052960258763	0.00427596546324	0.00667678663572	0.0110447779702	0.0150780145601	0.0098353931626	0.0108173619735	0.0165576775319	0.0206464938523	0.024327269801	0.0263413977615	0.0174266858291	0.017392467328
economy economic russia putin digest russian crisis vladimir markets companies	0.00129558148363	0.0011691091092	0.00147423623005	0.0112564847099	0.0151551419386	0.012634866675	0.0250439633871	0.0217649217617	0.0561491239192	0.0711316251235	0.057127089545	0.0157136842557	0.0179568069483	0.0106199519261	0.0129171430745	0.0147247817929	0.0121823469043	0.0699197244901	0.0682541619888	0.0470545047866	0.041578696623	0.0160043378702	0.039436399067	0.013069470278	0.00913286010282	0.0111130707818	0.0135814507872	0.00821470015251	0.0342711201601	0.0191108676097	0.0211646593987	0.0317852585588	0.0174489531434	0.025700724766	0.0133038923708	0.0110484660655	0.016788323945	0.0172002133615	0.0295439696679	0.0268662571819	0.0216544141654	0.0220835247725	0.0457975033617	0.0404630269305	0.0519588053859	0.0285496159119
gold ounce dollar silver bank york republic bid bullion italy	0.00639608000258	0.0190379704089	0.0222972375212	0.00427965620582	0.0185192353298	0.0134811732966	0.0140343867774	0.0105221137528	0.0209678795945	0.0247304426289	0.0157741729883	0.0101297144182	0.0126008977514	0.0154026768943	0.0188871281848	0.0222289192246	0.014204087931	0.0158665934899	0.0128915244277	0.00809273980176	0.0125097330945	0.00981186708651	0.00943831798852	0.012656215846	0.00554629364885	0.00361920794591	0.00636834256535	0.00706641056557	0.00528727045	0.00299941133875	0.00423589446969	0.00485272909099	0.00641583976927	0.0084584756142	0.00760903243216	0.00624306143259	0.0090088292891	0.00730755803383	0.0113305057169	0.00626789735843	0.00784959418853	0.0089970761411	0.0118130139737	0.0158402167005	0.0099913287263	0.00953173596654
energy tax bill plan ford carter pres house senate congress	0.167202151263	0.177496784567	0.102634722879	0.184747222149	0.180053166145	0.244809200218	0.134269981387	0.179608566279	0.109060755115	0.136040531837	0.0747668633151	0.0573860862705	0.0300197932519	0.0332493533227	0.0268312580976	0.0282064465116	0.0220030047841	0.0232277505959	0.0163658423706	0.0186695574778	0.013497798604	0.0167193596554	0.017226742536	0.00927814514306	0.0053126602925	0.00329912606755	0.00483438356165	0.00763884695504	0.0117528525669	0.00990935562559	0.0302629784267	0.0206818758253	0.0166082166925	0.0200462124394	0.0171282646995	0.0144262389083	0.0253853660532	0.0337094745949	0.0312468483718	0.0203167765969	0.0252444014869	0.0288960025966	0.0387658900546	0.0314638036367	0.0110502087698	0.0120338364967
energy company reserve million mexico obama president petroleum strategic government	0.0188559164499	0.0209345905315	0.0179998077413	0.00817359956135	0.0128774942385	0.0107420122391	0.0136135554044	0.00734856253178	0.00479658644166	0.0198081788177	0.0174424448802	0.0197679123933	0.0209697682866	0.0149913669494	0.0195719870111	0.0193422995948	0.0164048120304	0.0193288515601	0.0114057801417	0.0244120893509	0.0136391714493	0.00517311480069	0.013276326896	0.00633842214689	0.00964262943759	0.0113159356906	0.0122300406172	0.00786045153556	0.0173319313143	0.0143774776113	0.039098361747	0.0167953291895	0.00640398873099	0.00504922361949	0.0209008065099	0.0123029804124	0.011880341235	0.0123158853086	0.0244591881113	0.0171496216282	0.023076106214	0.0163042939419	0.0199427183983	0.0146602660981	0.0152775721746	0.012684416399
airlines fuel air airline energy world mexico industry united gas	0.0224303174219	0.0184298168583	0.0200597850637	0.00890423775421	0.00894009867208	0.0161310978038	0.0141626641946	0.0145807234151	0.0188651653352	0.0140420157185	0.013683276071	0.0160854571488	0.0188265330265	0.0176708940953	0.0144662435519	0.012634967233	0.0137981450086	0.0239323285675	0.0156115393664	0.0233041896128	0.0235291209934	0.0312062914787	0.0183918556191	0.0196346157234	0.0112619318988	0.0261663364069	0.0162873265359	0.0298918049735	0.0148939005923	0.0170616186391	0.0237851079249	0.020125850646	0.00806156677648	0.013964783341	0.0208966453656	0.0352882489858	0.0318488039238	0.0351441034818	0.059422204978	0.0397589155444	0.0803046298965	0.0637145913883	0.0512686824889	0.0603010821325	0.0356908229183	0.0309047029161
countries world nations economic international debt monetary west fund aid	0.00659529575632	0.0424848725775	0.0253894519617	0.0672530564405	0.141414818875	0.103638538104	0.0849223869154	0.0785855947013	0.0781607880623	0.0578135314096	0.0736199649237	0.0529435273616	0.0651950447927	0.0663877441099	0.0416360856521	0.0458123205644	0.0623522597961	0.0366324487307	0.0193402996042	0.0373450287615	0.0390981853843	0.026899319817	0.0304964303072	0.0144736612113	0.0171592757671	0.0143409182376	0.0121700829514	0.00990811364346	0.0363178842918	0.0329420922824	0.0250901754179	0.0339499673718	0.0226043335676	0.0212062129674	0.0145839893208	0.0188053001662	0.0189427380138	0.018442471136	0.0192164680154	0.0254032968186	0.0245489265647	0.0347822612527	0.0303092043557	0.0291282514113	0.0175385414461	0.0231107341755
quarter earnings year profit company million profits reported sales rose	0.0779224764706	0.0191479216355	0.0605958976868	0.0123863982034	0.0166180300132	0.0206706979308	0.0151248903158	0.0213733019816	0.0194786695577	0.0264093598752	0.0336498625438	0.0414852841106	0.0598557793651	0.0446499843371	0.0505600821244	0.0450673216402	0.0553634686169	0.0495379592897	0.0542316528575	0.0707975549697	0.0379195622129	0.0684348115343	0.0664029633009	0.0461005306629	0.0512674099036	0.0631891960493	0.057389053849	0.102866580722	0.0773136505274	0.0904166428626	0.077543781035	0.0658897589045	0.0560019804052	0.070674012028	0.0775120336448	0.0709680973142	0.0671654279597	0.0685525280439	0.03819281747	0.0581031741948	0.0523327429113	0.0570181606352	0.0494972008274	0.0493398161621	0.0585062148309	0.076692147532
shell city bp group company cars dutch royal rent million	0.0213157434693	0.0280375361515	0.0354359935544	0.0197998609315	0.0155392298146	0.0181525429291	0.0105819935537	0.022177754101	0.0232372931543	0.0220259911124	0.0220209872077	0.0158482776844	0.0230490501512	0.0157885173031	0.015748273045	0.0218136899448	0.0151382367497	0.014926173479	0.0141847721315	0.0116263948453	0.012446681943	0.0156010701073	0.017551434307	0.0195818164026	0.0139944288898	0.0175300845253	0.00564261904067	0.00592114821439	0.0188765605985	0.0219536268071	0.0278609667966	0.0280238783859	0.01819536038	0.0216304505248	0.0183488983263	0.0191637941778	0.026139577729	0.0211654883449	0.0317933034343	0.0202877673895	0.0315881684673	0.0198037435011	0.0267257045137	0.0202937800751	0.0154357921696	0.0307599719286
crude futures yesterday heating barrel cents york exchange rose commodity	0.240452086677	0.150822999388	0.224477850585	0.0599480919498	0.0238522047693	0.0249473872029	0.0462639407782	0.0543189019074	0.0175506771569	0.0339254579788	0.036790977808	0.0367138655491	0.0404821224017	0.0321543728885	0.0868746975305	0.0927749202026	0.0472355907185	0.0533511290686	0.080593325373	0.0853950611484	0.0748220895835	0.116328855939	0.168629556723	0.191075067967	0.23527439904	0.370682849037	0.347643302304	0.209933493296	0.0502494143155	0.0490043815332	0.0496900077239	0.0377427727244	0.0641167983799	0.0601414022352	0.0680537207236	0.0512038371622	0.0233558425356	0.0292200988945	0.0346604715961	0.0261319861907	0.0267376560405	0.0279294360162	0.0286633612468	0.0123922272219	0.030006200848	0.0233445172149
saudi arabia arab saudis yamani king world countries opec sheik	0.00129558148363	0.106800666157	0.0706506220758	0.113612818605	0.0880622788734	0.0630573769239	0.058859635816	0.0730146352406	0.0714761683817	0.0333797476393	0.0325596147902	0.0323792613383	0.0152157217716	0.0233799654496	0.013025092397	0.0165349157434	0.019431501903	0.0206317032972	0.0164643294681	0.0138539555542	0.0182206640657	0.0126184100653	0.0117089649017	0.00472479510364	0.0130038440723	0.0140066853284	0.0162705280284	0.00966588782477	0.0138392106524	0.013603269072	0.0131394215984	0.0171782835636	0.0199639015384	0.00674746639404	0.0151230147352	0.0130445257804	0.0108188692627	0.014177420523	0.0119659301372	0.0139976842331	0.0133457240586	0.0153994047387	0.0165590534623	0.00858105320983	0.0135739555785	0.0196304809134
opec production countries petroleum organization exporting crude barrel output meeting	0.086291711305	0.0688949451509	0.062603802388	0.0729958749774	0.0485158483043	0.0541897948323	0.0860637807311	0.0873543712953	0.0741059451801	0.0716122888436	0.106066079502	0.141434995655	0.146101040223	0.143874494172	0.139744133309	0.136993150277	0.0888883375313	0.0777459947806	0.122356415474	0.088956884858	0.048647040208	0.0579180534769	0.082195719533	0.0943966194357	0.0359051308895	0.0177280712436	0.0323147293173	0.0210448895456	0.0610415893526	0.0602350271229	0.0767655147228	0.138769040046	0.0881064409664	0.0911177401297	0.0509381198886	0.0291529932337	0.03663499735	0.0236878544513	0.0251505114592	0.0258394515155	0.0196356676909	0.0403695315539	0.0270057931722	0.0319643324166	0.0491543793311	0.0332201564837
chief executive energy company africa chairman hurricane south years texas	0.00129558148363	0.0011691091092	0.0172482501511	0.00639610312169	0.0145383351075	0.00920429378023	0.0091455592284	0.0178535864935	0.0109947909346	0.016508462191	0.0190270162647	0.00861102087222	0.0127554358346	0.0111231472009	0.00629926763226	0.0115000008898	0.0115135068404	0.0132643154357	0.0137237847731	0.00991969895986	0.0118575949597	0.00912277412746	0.0036823340184	0.00609577315405	0.0128990963843	0.0118309366388	0.00552707908205	0.00484536587939	0.0226414306149	0.0219742033167	0.0132221259144	0.00810870948511	0.0127960375219	0.00888947667359	0.010741112686	0.0300482128263	0.02083411056	0.0247503546991	0.0289025487751	0.0264058965663	0.0227250474248	0.0197978266843	0.0227270506322	0.0273153022459	0.0144839767496	0.0197415688533
north sea world dakota years company mr companies shale long	0.024022448844	0.0159683498115	0.00636298308753	0.00507235339907	0.0108136365198	0.00774591306702	0.00780025708563	0.0103822556933	0.00857244514084	0.00896365401244	0.0129548414154	0.0112304497966	0.0118447166886	0.0101823374686	0.0146645625341	0.0110512070041	0.0100024708945	0.0126805309617	0.0110072486532	0.011147918901	0.00988504270189	0.00639715626302	0.0093795739951	0.0127372177022	0.00706777455437	0.0203151232697	0.00820441526606	0.00912765996695	0.0225187058427	0.00882845903863	0.0101784558346	0.0170531771047	0.0145352644305	0.0149940179317	0.00512227985863	0.00722785935423	0.0113278206924	0.0109033816728	0.0134689015908	0.0150759014423	0.0274628348392	0.0115460587938	0.00755633526005	0.0251870125571	0.0159934684564	0.0171475901804
world iraq industry united refinery war saudi companies time american	0.00129558148363	0.00734079502273	0.0180772184679	0.0117365733747	0.0135295961707	0.00808759540266	0.018422272991	0.017346000622	0.0144893285332	0.00906937921355	0.00906987906181	0.0201735087232	0.0145027587688	0.0147384191882	0.0163851927491	0.0121064089002	0.0110428617008	0.00866504061828	0.0149907919093	0.00597697192483	0.0161794748658	0.0185977690747	0.0110299343341	0.00659702337538	0.0145572611195	0.00627857710825	0.0119681617023	0.0110873062915	0.00956406393533	0.0160133626704	0.0165224382129	0.0253128777141	0.0211032368995	0.0269184513462	0.0188089960697	0.0164804643012	0.0165001701866	0.024351513942	0.0179721373421	0.0188378972917	0.0211585709071	0.020426110126	0.0197754957823	0.030135149188	0.0141153457265	0.0158445647669
stocks market stock dow dollar yesterday trading markets investors points	0.0785943575841	0.0399714032467	0.0774518319517	0.0408411415336	0.0208052568443	0.0356632737707	0.0633854558392	0.0233591670279	0.0717143466974	0.0840394565168	0.0491932925782	0.0505775922421	0.0529435092056	0.0997193545077	0.0853576725908	0.101050368463	0.0961270816522	0.120446160689	0.115124820865	0.0998435226677	0.131943898821	0.0806291198083	0.0648990964598	0.135500102252	0.0811566966416	0.0899430210441	0.106792351876	0.174693768619	0.13298208861	0.0950703479916	0.0857750935502	0.0720960484346	0.0609419814397	0.076137341022	0.144969513327	0.142712217597	0.157609720114	0.177157190133	0.140936749419	0.192549983022	0.117711178373	0.0985825164805	0.0820856518107	0.0895053443598	0.166186265289	0.112283693179
